PS_Station,Accomm_Status
"Mechanical-Jsw Energy, Vijaynagar",0
"Mechanical-Kota Super Thermal Power Station, Kota",0
"Mechanical-L & T Heavy Engineering, Surat",0
"Mechanical-Maruti Suzuki India Limited, Gurgaon",0
"Mechanical-Minda Corporation Ltd, Pune",0
"Mechanical-Mytrah Energy, Hyderabad",0
"Mechanical-Nandi Group of Companies, Nandyal",0
"Mechanical-National Aluminium Company Limited - Smelter Plant, Angul",0
"Mechanical-National Aluminium Company Limited - Smelter Plant, Damanjodi",0
"Mechanical-National Aluminium Company Ltd - Power Plant, Angul",0
"Mechanical-NEXUSINFO, Bangalore",0
"Mechanical-Numancia Aerospace Private Limited (Pixxel), Bangalore",0
"Mechanical-Numancia Aerospace Private Limited (Pixxel), Chennai",0
"Mechanical-Orient Enterprises, Mumbai",0
"Mechanical-PGS Energy Services Pvt. Ltd., Chandigarh",0
"Mechanical-Preto Tooling Systems, Hyderabad",0
"Mechanical-Samvardhana Motherson Adsys Tech Ltd., Noida",0
"Mechanical-Sarda Metals & Alloys, Visakhapatnam",0
"Mechanical-Sesa Sterlite Ltd. (Vedanta Aluminium & Power), Jharsuguda",0
"Mechanical-Starflex Sealing India Pvt. Ltd., Goa",0
"Mechanical-Superseals India Ltd., Faridabad",0
"Mechanical-Tata Auto Comp Composite Division, Pune",0
"Mechanical-Tata Motors Ltd., Pune",0
"Mechanical-Tata Technologies Limited, Pune",0
"Mechanical-Tega Industries, Kolkata",0
"Mechanical-Teksons Pvt. Ltd., Thane",0
"Mechanical-Texmaco Ltd., Kolkata",0
"Mechanical-TKW Fasteners Pvt. Ltd, Gurgaon",0
"Mechanical-Wheels India Ltd., Chennai",0
"Mechanical-Yazaki India Ltd., Pune",0
"Mechanical-ZF Windpower, Coimbatore",0
"Others-Ab-inbev India limited (Charminar breweries), Sangareddy",0
"Others-Birla Museum, Pilani",0
"Others-Council of Science & Technology (CST), Lucknow",0
"Others-Delta Step Learning Pvt. Ltd, Kolkata",0
"Others-Department of Agriculture, Goa",0
"Others-Deshpande Foundation, Hubballi",0
"Others-Funskool (india) Ltd., Goa",0
"Others-G.M.R. Varalakshmi Foundation, Delhi",0
"Others-G.M.R. Varalakshmi Foundation, Hyderabad",0
"Others-Helpage India, Goa",0
"Others-Helpage India, Hyderabad",0
"Others-HelpAge India, Shimla",0
"Others-IG AGRA RANGE, Agra",0
"Others-Indian Red Cross Society , Mumbai",0
"Others-Indian Red Cross Society Blood Bank, Delhi",0
"Others-Indian Red Cross Society, Bangalore",0
"Others-Indian Red Cross Society, Goa",0
"Others-Indian Red Cross Society, Hyderabad",0
"Others-Jaguar Overseas Ltd., Delhi",0
"Others-Knack Packaging Pvt Ltd, Mehsana",0
"Others-Law Pundits LLP, Trivandrum",0
"Others-Million Sparks Foundation, Noida",0
"Others-SAMHITA SOCIAL VENTURES, Mumbai",0
"Others-Tamil Nadu Science and Technology Centre, Chennai",0
"Others-TV Today Network Ltd., Noida",0
"Mechanical-Chennai Petroleum Corporation, Chennai",0
"Mechanical-Madras Atomic Power Station, Kalpakkam",0
"Steel-Bhilai Steel Plant, Bhilai",0
"Steel-Essar Steel India Ltd., Surat",0
"Steel-Jsw Steel, Vijaynagar",0
"Steel-Rourkela Steel Plant, Rourkela",0
"Steel-Tata Steel BSL Ltd., Ghaziabad",0
"Steel-Vishakapatnam Steel Plant, Visakhapatnam",0
"Textile-Cambodia Mills  (National Textile Corporation Ltd.), Coimbatore",0
"Textile-Century Textiles, Pune",0
"Textile-Coimbatore Murugan Mills (National Textile Corporation Ltd.), Coimbatore",0
"Textile-Filatex India Limited, Dahej",0
"Textile-India United Mills (National Textile Corporation Ltd), Mumbai",0
"Textile-Indian Rayon, Veraval",0
"Textile-National Textile Corporation Limited (Regional Office), Coimbatore",0
"Textile-National Textile Corporation Limited, Delhi",0
"Textile-New Bhopal Textile Mills, Bhopal (National Textile Corporation Ltd), Bhopal",0
"Textile-Podar Mills, Mumbai  (National Textile Corporation Ltd), Mumbai",0
"Textile-Rajnagar Textile Mills  (National Textile Corporation Ltd), Ahmedabad",0
"Textile-Regional Office (NTCL), Mumbai",0
"Textile-Shubhalakshmi Polyester Limited, Dahej",0
"Textile-Southern Regional Office (NTCL), Coimbatore",0
"Textile-Tata Mills-Dadar(National Textile Corporation Ltd), Mumbai",0
"Chemical-GUPTA AGRO INDUSTRIES, Delhi",0
"Cosmos Infra Engineering (India) Pvt. Ltd., New Delhi",0
"Electronics  -Fiabilite Network Solutions Pvt. Ltd., Bangalore",0
"Electronics  -HTIC, Chennai",0
"Electronics  -Mantec Electronics Pvt. Ltd., Pondicherry",0
"Electronics  -Power Grid Corporation , Nagpur",0
"Finance and Mgmt-Allahabad Bank, Kolkata",0
"Finance and Mgmt-Allahabad Bank, Lucknow",0
"Finance and Mgmt-Allahabad Bank, Mumbai",0
"Finance and Mgmt-Allahabad Bank, New Delhi",0
"Finance and Mgmt-National Institute of Rural Development & Panchayati Raj, Hyderabad",0
"Finance and Mgmt-Quantone Technologies Pvt Ltd., Kolkata",0
"Govt Research Lab-CSIO, Chennai",0
